,Phone Name & Brand,RAM & ROM,Display,Camera,Battary,Warranty,URL
34,"OnePlus Nord 2 5G (Green Wood, 256 GB)",12 GB RAM | 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Months,"Currently unavailable
Add to Compare
OnePlus Nord 2 5G (Green Wood, 256 GB)
4.4209 Ratings & 19 Reviews
12 GB RAM | 256 GB ROM
16.33 cm (6.43 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Months
₹33,999
₹34,9992% off
Free delivery
Bank Offer"
35,"OnePlus Nord 2 5G (Blue Haze, 256 GB)",12 GB RAM | 256 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,1 year Warranty,"Currently unavailable
Add to Compare
OnePlus Nord 2 5G (Blue Haze, 256 GB)
4.4209 Ratings & 19 Reviews
12 GB RAM | 256 GB ROM
16.33 cm (6.43 inch) Display
50MP Rear Camera
4500 mAh Battery
1 year Warranty
₹33,998
₹34,9902% off
Free delivery
Bank Offer"
36,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)
4.32,665 Ratings & 251 Reviews
8 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹25,990
Free delivery
Bank Offer"
37,"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,12 Month,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)
4.3410 Ratings & 41 Reviews
6 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
64MP Rear Camera
4500 mAh Battery
12 Month
₹23,900
Free delivery
Bank Offer"
38,"OnePlus Nord CE 5G (Blue Void, 128 GB)",12 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year Warranty,"Currently unavailable
Add to Compare
OnePlus Nord CE 5G (Blue Void, 128 GB)
4.1182 Ratings & 22 Reviews
12 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
64MP Rear Camera
4500 mAh Battery
1 Year Warranty
₹30,999
Free delivery
Bank Offer"
39,"OnePlus Nord CE 5G (Blue Void, 128 GB)",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year Warranty,"Currently unavailable
Add to Compare
OnePlus Nord CE 5G (Blue Void, 128 GB)
3.555 Ratings & 5 Reviews
8 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
64MP Rear Camera
4500 mAh Battery
1 Year Warranty
₹24,899
₹24,999
Free delivery
Bank Offer"
40,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)",6 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year Warranty,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)
4.3410 Ratings & 41 Reviews
6 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
64MP Rear Camera
4500 mAh Battery
1 Year Warranty
₹23,990
Free delivery
Bank Offer"
41,"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year Warranty,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)
4.3410 Ratings & 41 Reviews
6 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
64MP Rear Camera
4500 mAh Battery
1 Year Warranty
₹23,990
Free delivery
Bank Offer"
42,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,50MP Rear Camera,4500 mAh Battery,12 Month,"Currently unavailable
Add to Compare
OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)
4.32,665 Ratings & 251 Reviews
8 GB RAM | 128 GB ROM
16.33 cm (6.43 inch) Display
50MP Rear Camera
4500 mAh Battery
12 Month
₹24,989
Free delivery
Bank Offer"
43,"OnePlus Nord (Gray Onyx, 256 GB)",12 GB RAM | 256 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Qualcomm® Snapdragon™ 765G Processor,"Currently unavailable
Add to Compare
OnePlus Nord (Gray Onyx, 256 GB)
12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 8MP | 32MP + 8MP Dual Front Camera
4115 mAh Battery
Qualcomm® Snapdragon™ 765G Processor
1 Year
₹29,999
Free delivery
Bank Offer"
44,"OnePlus Nord (Blue Marble, 256 GB)",12 GB RAM | 256 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Qualcomm® Snapdragon™ 765G Processor,"Currently unavailable
Add to Compare
OnePlus Nord (Blue Marble, 256 GB)
12 GB RAM | 256 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 8MP | 32MP + 8MP Dual Front Camera
4115 mAh Battery
Qualcomm® Snapdragon™ 765G Processor
1 Year
₹29,999
Free delivery
Bank Offer"
45,"OnePlus Nord (Gray Onyx, 64 GB)",6 GB RAM | 64 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Qualcomm® Snapdragon™ 765G Processor,"Currently unavailable
Add to Compare
OnePlus Nord (Gray Onyx, 64 GB)
6 GB RAM | 64 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 8MP | 32MP + 8MP Dual Front Camera
4115 mAh Battery
Qualcomm® Snapdragon™ 765G Processor
1 Year
₹24,999
Free delivery
Bank Offer"
46,"OnePlus Nord (Blue Marble, 64 GB)",6 GB RAM | 64 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Qualcomm® Snapdragon™ 765G Processor,"Currently unavailable
Add to Compare
OnePlus Nord (Blue Marble, 64 GB)
6 GB RAM | 64 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 8MP | 32MP + 8MP Dual Front Camera
4115 mAh Battery
Qualcomm® Snapdragon™ 765G Processor
1 Year
₹24,999
Free delivery
Bank Offer"
47,"OnePlus Nord (Blue Marble, 128 GB)",8 GB RAM | 128 GB ROM,16.36 cm (6.44 inch) Full HD+ Display,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,Qualcomm® Snapdragon™ 765G Processor,"Currently unavailable
Add to Compare
OnePlus Nord (Blue Marble, 128 GB)
8 GB RAM | 128 GB ROM
16.36 cm (6.44 inch) Full HD+ Display
48MP + 8MP | 32MP + 8MP Dual Front Camera
4115 mAh Battery
Qualcomm® Snapdragon™ 765G Processor
1 Year
₹27,999
Free delivery
Bank Offer"
